Study,Date,Hours
Leitura,5/12,1.5
Japanese,5/12,0
AWS,5/12,2
Faculdade,5/12,0
Other,5/12,0
Leitura,5/13,1
Japanese,5/13,1
AWS,5/13,1.5
Faculdade,5/13,2
Other,5/13,1
Leitura,5/14,0
Japanese,5/14,1.5
AWS,5/14,2.5
Faculdade,5/14,0
Other,5/14,0.5
Leitura,5/15,1.25
Japanese,5/15,1
AWS,5/15,2
Faculdade,5/15,2
Other,5/15,1.25
Leitura,5/16,0.5
Japanese,5/16,1
AWS,5/16,3.5
Faculdade,5/16,1.5
Other,5/16,0
Leitura,5/17,1
Japanese,5/17,0
AWS,5/17,1.5
Faculdade,5/17,2
Other,5/17,1.5
Leitura,5/18,0
Japanese,5/18,0
AWS,5/18,0
Faculdade,5/18,2
Other,5/18,1.5
Leitura,5/19,0
Japanese,5/19,0
AWS,5/19,0
Faculdade,5/19,0
Other,5/19,0
Leitura,5/20,0
Japanese,5/20,0.5
AWS,5/20,0
Faculdade,5/20,3
Other,5/20,2.25
Leitura,5/21,0.75
Japanese,5/21,0.8
AWS,5/21,2.75
Faculdade,5/21,2
Other,5/21,0
Leitura,5/22,1
Japanese,5/22,0.9
AWS,5/22,0.2
Faculdade,5/22,2.75
Other,5/22,0
Leitura,5/23,0
Japanese,5/23,0.5
Python,5/23,1.2
AWS,5/23,2.25
Faculdade,5/23,2
Other,5/23,0
Leitura,5/24,0
Japanese,5/24,0.1
Python,5/24,0
AWS,5/24,2
Faculdade,5/24,2.75
Other,5/24,0
Data Science,5/25,0.25
Leitura,5/25,0
Japanese,5/25,0
SQL,5/25,2
Python,5/25,0
AWS,5/25,0
Faculdade,5/25,1.5
Other,5/25,0
Soft Skills,5/25,0.25
Data Science,5/26,0
Leitura,5/26,0
Japanese,5/26,0
SQL,5/26,2
Python,5/26,0
AWS,5/26,0
Faculdade,5/26,0
Other,5/26,0
Soft Skills,5/26,0
Data Science,5/27,4.4
Leitura,5/27,0
Japanese,5/27,0.5
SQL,5/27,0
Python,5/27,0
AWS,5/27,2.85
Faculdade,5/27,0
Other,5/27,0
Soft Skills,5/27,0
Data Science,5/28,3
Leitura,5/28,0
Japanese,5/28,0.25
SQL,5/28,0
Python,5/28,0
AWS,5/28,2.5
Faculdade,5/28,0
Other,5/28,0
Soft Skills,5/28,0
Data Science,5/29,6.25
Leitura,5/29,0
Japanese,5/29,0
SQL,5/29,0
Python,5/29,0
AWS,5/29,2.75
Faculdade,5/29,0
Other,5/29,0
Soft Skills,5/29,0
Data Science,5/30,3.7
Leitura,5/30,0
Japanese,5/30,0
SQL,5/30,0
Python,5/30,0
AWS,5/30,0
Faculdade,5/30,0
Other,5/30,0
Soft Skills,5/30,0
Data Science,5/31,2.5
Leitura,5/31,0
Japanese,5/31,0
SQL,5/31,0
Python,5/31,0
AWS,5/31,2.75
Faculdade,5/31,0
Other,5/31,0
Soft Skills,5/31,0
Data Science,6/1,2.25
Leitura,6/1,0
Japanese,6/1,0
SQL,6/1,0
Python,6/1,0
AWS,6/1,2.3
Faculdade,6/1,0
Other,6/1,0
Soft Skills,6/1,0
Data Science,6/2,1.5
Leitura,6/2,0
Japanese,6/2,0
SQL,6/2,0
Python,6/2,0
AWS,6/2,2.5
Faculdade,6/2,0
Other,6/2,0
Soft Skills,6/2,0
Data Science,6/3,4
Leitura,6/3,0
Japanese,6/3,0
SQL,6/3,0
Python,6/3,0
AWS,6/3,1.75
Faculdade,6/3,0
Other,6/3,0
Soft Skills,6/3,0
Data Science,6/4,5
Leitura,6/4,0
Japanese,6/4,0.1
SQL,6/4,0
Python,6/4,0
AWS,6/4,1
Faculdade,6/4,1.5
Other,6/4,0
Soft Skills,6/4,0
Data Science,6/5,1.3
Leitura,6/5,0.5
Japanese,6/5,0
SQL,6/5,0
Python,6/5,0
AWS,6/5,1.1
Faculdade,6/5,1.5
Other,6/5,0
